Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
A otra Comunidad Autónoma;Viajes;Valor absoluto;2019;83.075.463
A otra Comunidad Autónoma;Viajes;Valor absoluto;2018;83.726.593
A otra Comunidad Autónoma;Viajes;Valor absoluto;2017;83.589.175
A otra Comunidad Autónoma;Viajes;Valor absoluto;2016;80.139.671
A otra Comunidad Autónoma;Viajes;Valor absoluto;2015;77.168.127
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2024;4,70
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2023;4,73
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2022;4,76
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;5,31
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;6,15
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;4,63
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;4,57
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2017;4,72
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2016;4,83
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2015;4,79
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2024;389.825.433
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2023;403.155.366
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2022;362.795.286
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2021;310.685.588
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2020;239.704.583
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2019;384.740.039
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2018;382.722.163
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2017;394.546.709
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2016;386.711.462
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2015;369.603.634
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2024;28.936.017,48
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2023;28.425.334,78
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2022;24.920.854,53
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2021;18.078.795,37
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2020;11.034.452,81
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2019;22.462.105,74
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2018;21.788.081,18
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2017;21.327.310,12
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2016;20.172.723,85
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2015;18.472.215,94
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2024;348,88
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2023;333,34
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2022;327,07
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;308,89
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;283,26
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;270,38
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;260,23
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2017;255,14
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2016;251,72
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2015;239,38
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2024;74,23
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2023;70,51
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2022;68,69
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;58,19
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;46,03
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;58,38
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;56,93
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2017;54,06
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2016;52,16
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2015;49,98
