,dia,mes,anio,festivo,provincia,comunidad,ambito
251,1,Enero,2022,Año nuevo,Albacete,Castilla-La Mancha,nacional
252,6,Enero,2022,Epifanía del Señor,Albacete,Castilla-La Mancha,nacional
253,14,Abril,2022,Jueves Santo,Albacete,Castilla-La Mancha,regional
254,15,Abril,2022,Viernes Santo,Albacete,Castilla-La Mancha,nacional
255,31,Mayo,2022,Día de Castilla La Mancha,Albacete,Castilla-La Mancha,regional
256,16,Junio,2022,Corpus Christi,Albacete,Castilla-La Mancha,regional
257,24,Junio,2022,San Juan,Albacete,Castilla-La Mancha,local
258,15,Agosto,2022,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
259,8,Septiembre,2022,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
260,12,Octubre,2022,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
261,1,Noviembre,2022,Día de Todos los Santos,Albacete,Castilla-La Mancha,nacional
262,6,Diciembre,2022,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
263,8,Diciembre,2022,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
264,25,Diciembre,2022,Natividad del Señor(se traslada al lunes),Albacete,Castilla-La Mancha,regional
265,6,Enero,2023,Día de Reyes,Albacete,Castilla-La Mancha,nacional
266,6,Abril,2023,Jueves Santo,Albacete,Castilla-La Mancha,regional
267,7,Abril,2023,Viernes Santo,Albacete,Castilla-La Mancha,nacional
268,1,Mayo,2023,Día Del Trabajo,Albacete,Castilla-La Mancha,nacional
269,31,Mayo,2023,Día de la Región de Castilla la Mancha,Albacete,Castilla-La Mancha,regional
270,8,Junio,2023,Corpus Christi,Albacete,Castilla-La Mancha,regional
271,24,Junio,2023,San Juan,Albacete,Castilla-La Mancha,local
272,15,Agosto,2023,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
273,8,Septiembre,2023,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
274,12,Octubre,2023,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
275,1,Noviembre,2023,Día de Todos los Santos,Albacete,Castilla-La Mancha,nacional
276,6,Diciembre,2023,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
277,8,Diciembre,2023,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
278,25,Diciembre,2023,Navidad,Albacete,Castilla-La Mancha,nacional
279,1,Enero,2024,Año nuevo,Albacete,Castilla-La Mancha,nacional
280,6,Enero,2024,Epifanía del Señor,Albacete,Castilla-La Mancha,nacional
281,28,Marzo,2024,Jueves Santo,Albacete,Castilla-La Mancha,regional
282,29,Marzo,2024,Viernes Santo,Albacete,Castilla-La Mancha,nacional
283,1,Mayo,2024,Día del Trabajo,Albacete,Castilla-La Mancha,nacional
284,30,Mayo,2024,Corpus Christi,Albacete,Castilla-La Mancha,regional
285,31,Mayo,2024,Día de la Región de Castilla la Mancha,Albacete,Castilla-La Mancha,regional
286,24,Junio,2024,San Juan,Albacete,Castilla-La Mancha,local
287,15,Agosto,2024,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
288,8,Septiembre,2024,Virgen de los Llanos(se traslada al lunes),Albacete,Castilla-La Mancha,local
289,12,Octubre,2024,Fiesta Nacional Española,Albacete,Castilla-La Mancha,nacional
290,1,Noviembre,2024,Día de Todos los Santos,Albacete,Castilla-La Mancha,nacional
291,6,Diciembre,2024,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
292,25,Diciembre,2024,Navidad,Albacete,Castilla-La Mancha,nacional
293,1,Enero,2025,Año nuevo,Albacete,Castilla-La Mancha,nacional
294,6,Enero,2025,Epifanía del Señor,Albacete,Castilla-La Mancha,nacional
295,17,Abril,2025,Jueves Santo,Albacete,Castilla-La Mancha,regional
296,18,Abril,2025,Viernes Santo,Albacete,Castilla-La Mancha,nacional
297,1,Mayo,2025,Día del Trabajo,Albacete,Castilla-La Mancha,nacional
298,31,Mayo,2025,Día de la Región de Castilla la Mancha,Albacete,Castilla-La Mancha,regional
299,19,Junio,2025,Corpus Christi,Albacete,Castilla-La Mancha,regional
300,24,Junio,2025,San Juan,Albacete,Castilla-La Mancha,local
301,15,Agosto,2025,Asunción de la Virgen,Albacete,Castilla-La Mancha,nacional
302,8,Septiembre,2025,Virgen de los Llanos,Albacete,Castilla-La Mancha,local
303,1,Noviembre,2025,Día de Todos los Santos,Albacete,Castilla-La Mancha,nacional
304,6,Diciembre,2025,Día de la Constitución Española,Albacete,Castilla-La Mancha,nacional
305,8,Diciembre,2025,Inmaculada Concepción,Albacete,Castilla-La Mancha,nacional
306,25,Diciembre,2025,Navidad,Albacete,Castilla-La Mancha,nacional
307,1,Enero,2015,Año nuevo,Alicante,Comunidad Valenciana,nacional
308,6,Enero,2015,Epifanía del Señor,Alicante,Comunidad Valenciana,nacional
309,19,Marzo,2015,San José,Alicante,Comunidad Valenciana,regional
310,3,Abril,2015,Viernes Santo,Alicante,Comunidad Valenciana,nacional
311,6,Abril,2015,Lunes de Pascua,Alicante,Comunidad Valenciana,regional
312,16,Abril,2015,Santa Faz,Alicante,Comunidad Valenciana,local
313,1,Mayo,2015,Fiesta del Trabajo,Alicante,Comunidad Valenciana,regional
314,24,Junio,2015,San Juan,Alicante,Comunidad Valenciana,local
315,15,Agosto,2015,Asunción de la Virgen,Alicante,Comunidad Valenciana,nacional
316,9,Octubre,2015,Día de la Comunitat Valenciana,Alicante,Comunidad Valenciana,regional
317,12,Octubre,2015,Fiesta Nacional Española,Alicante,Comunidad Valenciana,nacional
318,6,Diciembre,2015,Día de la Constitución Española(se traslada al lunes),Alicante,Comunidad Valenciana,nacional
319,8,Diciembre,2015,Inmaculada Concepción,Alicante,Comunidad Valenciana,nacional
320,25,Diciembre,2015,Natividad del Señor,Alicante,Comunidad Valenciana,nacional
321,1,Enero,2016,Año nuevo,Alicante,Comunidad Valenciana,nacional
322,6,Enero,2016,Epifanía del Señor,Alicante,Comunidad Valenciana,nacional
323,19,Marzo,2016,San José,Alicante,Comunidad Valenciana,regional
324,24,Marzo,2016,Jueves Santo,Alicante,Comunidad Valenciana,regional
325,25,Marzo,2016,Viernes Santo,Alicante,Comunidad Valenciana,nacional
326,28,Marzo,2016,Lunes de Pascua,Alicante,Comunidad Valenciana,regional
327,7,Abril,2016,Santa Faz,Alicante,Comunidad Valenciana,local
328,24,Junio,2016,San Juan,Alicante,Comunidad Valenciana,local
329,15,Agosto,2016,Asunción de la Virgen,Alicante,Comunidad Valenciana,nacional
330,12,Octubre,2016,Fiesta Nacional Española,Alicante,Comunidad Valenciana,nacional
331,1,Noviembre,2016,Día de Todos los Santos,Alicante,Comunidad Valenciana,nacional
332,6,Diciembre,2016,Día de la Constitución Española,Alicante,Comunidad Valenciana,nacional
333,8,Diciembre,2016,Inmaculada Concepción,Alicante,Comunidad Valenciana,nacional
334,25,Diciembre,2016,Natividad del Señor(se traslada al lunes),Alicante,Comunidad Valenciana,regional
335,6,Enero,2017,Epifanía del Señor,Alicante,Comunidad Valenciana,nacional
336,13,Abril,2017,Jueves Santo,Alicante,Comunidad Valenciana,regional
337,14,Abril,2017,Viernes Santo,Alicante,Comunidad Valenciana,nacional
338,17,Abril,2017,Lunes de Pascua,Alicante,Comunidad Valenciana,regional
339,27,Abril,2017,Santa Faz,Alicante,Comunidad Valenciana,local
340,1,Mayo,2017,Día del Trabajo,Alicante,Comunidad Valenciana,nacional
341,24,Junio,2017,San Juan,Alicante,Comunidad Valenciana,local
342,15,Agosto,2017,Asunción de la Virgen,Alicante,Comunidad Valenciana,nacional
343,9,Octubre,2017,Día de la Comunitat Valenciana,Alicante,Comunidad Valenciana,regional
344,12,Octubre,2017,Fiesta Nacional Española,Alicante,Comunidad Valenciana,nacional
345,1,Noviembre,2017,Día de Todos los Santos,Alicante,Comunidad Valenciana,nacional
346,6,Diciembre,2017,Día de la Constitución Española,Alicante,Comunidad Valenciana,nacional
347,8,Diciembre,2017,Inmaculada Concepción,Alicante,Comunidad Valenciana,nacional
348,25,Diciembre,2017,Natividad del Señor,Alicante,Comunidad Valenciana,nacional
349,1,Enero,2018,Año nuevo,Alicante,Comunidad Valenciana,nacional
350,6,Enero,2018,Epifanía del Señor,Alicante,Comunidad Valenciana,nacional
351,19,Marzo,2018,San José,Alicante,Comunidad Valenciana,regional
